Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 20.201287169	 18.3219272284	 79.98776	 206.6	105.788	 230.0
0.5	 20.458707551	 3.4207605481	 79.5305934426	 206.631147541	105.6596	 211.0
1.0	 -28.3913349691	 -15.3953478476	 79.0734268852	 206.662295082	42.8132	 187.0
1.5	 9.67064178952	 -3.67491086275	 78.6162603279	 206.693442623	90.9672	 202.0
2.0	 -18.3597406877	 -2.91631068116	 78.1590937705	 206.724590164	54.7108	 203.0
2.5	 -17.4395989721	 0.974242872799	 77.7019272131	 206.755737705	55.4288	 208.0
3.0	 -6.40105549635	 -16.2758888368	 77.2447606557	 206.786885246	69.0696	 186.0
3.5	 -21.4416613617	 4.05741992216	 76.7875940984	 206.818032787	49.4032	 212.0
4.0	 -5.18309120021	 -3.01386332718	 76.330427541	 206.849180328	69.7108	 203.0
4.5	 -0.970326904214	 6.35760862842	 75.8732609836	 206.880327869	74.634	 215.0
5.0	 -7.31819618452	 -16.3734414828	 75.4160944262	 206.91147541	66.0696	 186.0
5.5	 -1.39883049592	 1.61090224686	 74.9589278689	 206.942622951	73.1724	 209.0
6.0	 35.4585969956	 18.0292692903	 74.5017613115	 206.973770492	119.788	 230.0
6.5	 -0.261357401445	 -3.13580413471	 74.0445947541	 207.004918033	73.7108	 203.0
7.0	 26.1359722171	 -3.94318063931	 73.5874281967	 207.036065574	106.9672	 202.0
7.5	 -16.5300283693	 20.3050698351	 73.1302616393	 207.067213115	52.0188	 233.0
8.0	 0.772421851223	 3.05493812551	 72.673095082	 207.098360656	73.6596	 211.0
8.5	 31.2654068948	 4.59652665019	 72.2159285246	 207.129508197	112.1468	 213.0
9.0	 10.8841941389	 3.0061618025	 71.7587619672	 207.160655738	85.6596	 211.0
9.5	 -3.7952975026	 -2.49914476066	 71.3015954098	 207.191803279	66.4544	 204.0
10.0	 27.6012560889	 10.7872689104	 70.8444288525	 207.22295082	106.0956	 221.0
10.5	 45.8276325542	 32.6865543555	 70.3872622951	 207.254098361	128.9164	 249.0
11.0	 88.3263344601	 24.04929442	 69.9300957377	 207.285245902	182.7368	 238.0
11.5	 83.6449775692	 16.1950228275	 69.4729291803	 207.316393443	176.3008	 228.0
12.0	 134.977353962	 3.64282117655	 69.015762623	 207.347540984	241.4032	 212.0
12.5	 121.402189079	 9.0993514167	 68.5585960656	 207.378688525	223.6084	 219.0
13.0	 95.6205491236	 25.5177184601	 68.1014295082	 207.409836066	190.224	 240.0
13.5	 105.514990032	 34.1062020727	 67.6442629508	 207.440983607	202.4036	 251.0
14.0	 158.252673903	 16.07308202	 67.1870963934	 207.472131148	269.3008	 228.0
14.5	 185.834508287	 13.6997288292	 66.7299298361	 207.503278689	304.07	 225.0
15.0	 125.721648245	 11.3263756384	 66.2727632787	 207.53442623	226.8392	 222.0
15.5	 154.508345091	 34.7916377697	 65.8155967213	 207.56557377	263.1472	 252.0
16.0	 161.290563934	 9.71162262925	 65.3584301639	 207.596721311	271.352	 220.0
16.5	 166.868546705	 19.8660829279	 64.9012636066	 207.627868852	278.0188	 233.0
17.0	 148.374649051	 29.2375548836	 64.4440970492	 207.659016393	253.942	 245.0
17.5	 140.521249785	 27.6471900359	 63.9869304918	 207.690163934	243.4548	 243.0
18.0	 219.720181308	 34.6696969622	 63.5297639344	 207.721311475	344.1472	 252.0
18.5	 248.727367672	 23.6834719974	 63.072597377	 207.752459016	380.7368	 238.0
19.0	 215.115844285	 40.1018390408	 62.6154308197	 207.783606557	337.3524	 259.0
19.5	 234.887839739	 34.5965324777	 62.1582642623	 207.814754098	362.1472	 252.0
20.0	 236.530836293	 47.8829461487	 61.7010977049	 207.845901639	363.7884	 269.0
20.5	 364.054555571	 89.3569401712	 61.2439311475	 207.87704918	526.1992	 322.0
21.0	 279.5879393	 7.901764328	 60.7867645902	 207.908196721	417.8648	 218.0
21.5	 277.095191426	 25.1031197145	 60.3295980328	 207.939344262	414.224	 240.0
22.0	 263.479937541	 36.8235566994	 59.8724314754	 207.970491803	396.378	 255.0
22.5	 261.649597805	 42.2800869396	 59.415264918	 208.001639344	393.5832	 262.0
23.0	 267.227580576	 52.4345472383	 58.9580983607	 208.032786885	400.25	 275.0
23.5	 264.514029989	 73.5508443403	 58.5009318033	 208.063934426	396.3272	 302.0
24.0	 272.159728376	 66.4795610909	 58.0437652459	 208.095081967	405.6348	 293.0
24.5	 303.576326469	 76.6340213896	 57.5865986885	 208.126229508	445.3016	 306.0
25.0	 285.563810049	 41.3751577889	 57.1294321311	 208.157377049	421.8396	 261.0
25.5	 292.647636001	 60.9254782048	 56.6722655738	 208.18852459	430.4296	 286.0
26.0	 345.084652348	 89.8716587377	 56.2150990164	 208.219672131	496.9428	 323.0
26.5	 286.6379915	 71.838538685	 55.757932459	 208.250819672	421.84	 300.0
27.0	 349.675417231	 96.0867891594	 55.3007659016	 208.281967213	501.8916	 331.0
27.5	 299.560691939	 91.3644709394	 54.8435993443	 208.313114754	437.43	 325.0
28.0	 343.946708947	 93.6890478071	 54.3864327869	 208.344262295	493.6608	 328.0
28.5	 391.082894212	 63.9111026081	 53.9292662295	 208.375409836	553.404	 290.0
29.0	 393.870619723	 112.431991718	 53.4720996721	 208.406557377	556.5072	 352.0
29.5	 398.966908066	 136.680242193	 53.0149331148	 208.437704918	562.5588	 383.0
30.0	 345.157730576	 97.5064368766	 52.5577665574	 208.468852459	493.3788	 333.0
30.5	 476.314828961	 91.2181419703	 52.1006	 208.5	660.43	 325.0
