Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 -18.78968	 6.2	 45.32408	 497.8	26.5344	 504.0
0.5	 27.7939206838	 18.3777777778	 45.6636793162	 497.622222222	73.4576	 516.0
1.0	 -13.7512786325	 -27.4444444444	 46.0032786325	 497.444444444	32.252	 470.0
1.5	 -30.4492779487	 28.7333333333	 46.3428779487	 497.266666667	15.8936	 526.0
2.0	 31.800322735	 -24.0888888889	 46.682477265	 497.088888889	78.4828	 473.0
2.5	 -39.6668765812	 35.0888888889	 47.0220765812	 496.911111111	7.3552	 532.0
3.0	 13.9931241026	 -3.73333333333	 47.3616758974	 496.733333333	61.3548	 493.0
3.5	 -8.83367521368	 -5.55555555556	 47.7012752137	 496.555555556	38.8676	 491.0
4.0	 -25.1992745299	 -40.3777777778	 48.0408745299	 496.377777778	22.8416	 456.0
4.5	 7.51272615385	 -9.2	 48.3804738462	 496.2	55.8932	 487.0
5.0	 -4.08327316239	 -8.02222222222	 48.7200731624	 496.022222222	44.6368	 488.0
5.5	 -29.7052724786	 -41.8444444444	 49.0596724786	 495.844444444	19.3544	 454.0
6.0	 44.0831282051	 -61.6666666667	 49.3992717949	 495.666666667	93.4824	 434.0
6.5	 38.7179288889	 -57.4888888889	 49.7388711111	 495.488888889	88.4568	 438.0
7.0	 14.5327295726	 -3.31111111111	 50.0784704274	 495.311111111	64.6112	 492.0
7.5	 3.52633025641	 -16.1333333333	 50.4180697436	 495.133333333	53.9444	 479.0
8.0	 -8.19726905983	 44.0444444444	 50.7576690598	 494.955555556	42.5604	 539.0
8.5	 10.6683316239	 51.2222222222	 51.0972683761	 494.777777778	61.7656	 546.0
9.0	 -21.3392676923	 -78.6	 51.4368676923	 494.6	30.0976	 416.0
9.5	 41.8079329915	 -115.422222222	 51.7764670085	 494.422222222	93.5844	 379.0
10.0	 30.2631336752	 -122.244444444	 52.1160663248	 494.244444444	82.3792	 372.0
10.5	 69.513934359	 -58.0666666667	 52.455665641	 494.066666667	121.9696	 436.0
11.0	 76.3019350427	 -116.888888889	 52.7952649573	 493.888888889	129.0972	 377.0
11.5	 148.218735726	 -117.711111111	 53.1348642735	 493.711111111	201.3536	 376.0
12.0	 159.34073641	 -111.533333333	 53.4744635897	 493.533333333	212.8152	 382.0
12.5	 74.283537094	 -77.3555555556	 53.814062906	 493.355555556	128.0976	 416.0
13.0	 167.123537778	 -66.1777777778	 54.1536622222	 493.177777778	221.2772	 427.0
13.5	 138.937538462	 -90.0	 54.4932615385	 493.0	193.4308	 403.0
14.0	 159.803139145	 -82.8222222222	 54.8328608547	 492.822222222	214.636	 410.0
14.5	 218.720339829	 -44.6444444444	 55.1724601709	 492.644444444	273.8928	 448.0
15.0	 314.534740513	 -29.4666666667	 55.5120594872	 492.466666667	370.0468	 463.0
15.5	 277.271941197	 -41.2888888889	 55.8516588034	 492.288888889	333.1236	 451.0
16.0	 308.67634188	 -1.11111111111	 56.1912581197	 492.111111111	364.8676	 491.0
16.5	 307.131942564	 31.0666666667	 56.5308574359	 491.933333333	363.6628	 523.0
17.0	 325.818343248	 66.2444444444	 56.8704567521	 491.755555556	382.6888	 558.0
17.5	 337.837543932	 49.4222222222	 57.2100560684	 491.577777778	395.0476	 541.0
18.0	 309.857144615	 71.6	 57.5496553846	 491.4	367.4068	 563.0
18.5	 329.697545299	 121.777777778	 57.8892547009	 491.222222222	387.5868	 613.0
19.0	 424.870345983	 80.9555555556	 58.2288540171	 491.044444444	483.0992	 572.0
19.5	 299.018346667	 122.133333333	 58.5684533333	 490.866666667	357.5868	 613.0
20.0	 393.55074735	 142.311111111	 58.9080526496	 490.688888889	452.4588	 633.0
20.5	 284.621148034	 117.488888889	 59.2476519658	 490.511111111	343.8688	 608.0
21.0	 312.537548718	 77.6666666667	 59.5872512821	 490.333333333	372.1248	 568.0
