Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 -34.6388241703	 2.00730303947	 189.39864	 267.4	161.7884	 269.0
0.5	 36.2517918674	 -36.9221604308	 188.840880526	 267.430263158	217.7368	 238.0
1.0	 -0.749628640684	 -26.9236123139	 188.283121053	 267.460526316	187.6856	 246.0
1.5	 24.3664488849	 29.4938185906	 187.725361579	 267.490789474	207.1476	 291.0
2.0	 -18.2323361487	 31.9649803094	 187.167602105	 267.521052632	172.6348	 293.0
2.5	 -5.72713996855	 0.56290323722	 186.609842632	 267.551315789	182.0448	 268.0
3.0	 -30.2155351543	 -33.3483026343	 186.052083158	 267.581578947	161.9676	 241.0
3.5	 30.3821327227	 16.7963062719	 185.494323684	 267.611842105	209.7116	 281.0
4.0	 9.59369886446	 41.8496271847	 184.936564211	 267.642105263	192.5836	 301.0
4.5	 18.5926384604	 19.2295009102	 184.378804737	 267.672368421	199.1988	 283.0
5.0	 33.8644000547	 -3.39062536437	 183.821045263	 267.702631579	210.814	 265.0
5.5	 64.0950857249	 37.9720327442	 183.263285789	 267.732894737	234.3528	 298.0
6.0	 3.48276321507	 110.698800844	 182.705526316	 267.763157895	185.4816	 356.0
6.5	 -13.671950316	 9.04111739077	 182.147766842	 267.793421053	171.25	 275.0
7.0	 -59.3263524014	 47.8946467	 181.590007368	 267.823684211	134.3016	 306.0
7.5	 -40.9663550809	 32.8019068234	 181.032247895	 267.853947368	148.3784	 294.0
8.0	 -60.9187472232	 25.2365533449	 180.474488421	 267.884210526	131.9168	 288.0
8.5	 -4.59964577484	 57.8172606558	 179.916728947	 267.914473684	176.2504	 314.0
9.0	 -15.0620109723	 86.6342747676	 179.358969474	 267.944736842	167.3532	 337.0
9.5	 5.45282616107	 28.8863453024	 178.80121	 267.975	183.1476	 291.0
10.0	 53.7617848305	 38.8848934192	 178.243450526	 268.005263158	221.0964	 299.0
10.5	 6.72384912507	 48.883441536	 177.685691053	 268.035526316	183.0452	 307.0
11.0	 94.599761657	 51.3546032548	 177.127931579	 268.065789474	252.5324	 309.0
11.5	 21.3444409531	 41.280120977	 176.570172105	 268.096052632	193.5836	 301.0
12.0	 95.7739322493	 37.4784606975	 176.012412632	 268.126315789	252.3528	 298.0
12.5	 130.411149917	 27.4039784196	 175.454653158	 268.156578947	279.404	 290.0
13.0	 75.4920406528	 43.6753485348	 174.896893684	 268.186842105	235.0708	 303.0
13.5	 181.350377464	 78.765184645	 174.339134211	 268.217105263	318.8916	 331.0
14.0	 130.99838444	 18.5081263804	 173.781374737	 268.247368421	278.1988	 283.0
14.5	 155.728056131	 37.2886252949	 173.223615263	 268.277631579	297.3528	 298.0
15.0	 192.037859056	 10.9048058213	 172.665855789	 268.307894737	325.7372	 277.0
15.5	 135.414047686	 48.5037707309	 172.108096316	 268.338157895	280.0452	 307.0
16.0	 303.035091718	 38.429288453	 171.550336842	 268.368421053	413.0964	 299.0
16.5	 275.555313178	 30.8639349745	 170.992577368	 268.398684211	390.6348	 293.0
17.0	 158.03695315	 75.990286282	 170.434817895	 268.428947368	296.4044	 329.0
17.5	 177.555164325	 75.9523192015	 169.877058421	 268.459210526	311.4044	 329.0
18.0	 267.586418495	 84.6963029187	 169.319298947	 268.489473684	382.6096	 336.0
18.5	 255.129797728	 131.077218626	 168.761539474	 268.519736842	372.1228	 373.0
19.0	 227.263613353	 85.8749331573	 168.20378	 268.55	349.3532	 337.0
19.5	 138.50288032	 48.2000340867	 167.646020526	 268.580263158	278.0452	 307.0
20.0	 359.555822135	 69.4896618006	 167.088261053	 268.610526316	453.6864	 324.0
20.5	 208.45377678	 118.379706307	 166.530501579	 268.640789474	332.6868	 363.0
21.0	 373.919479174	 102.032402031	 165.972742105	 268.671052632	464.02	 350.0
21.5	 299.441209093	 38.0116505673	 165.414982632	 268.701315789	404.0964	 299.0
22.0	 384.679023605	 11.6278310938	 164.857223158	 268.731578947	471.4808	 278.0
22.5	 254.808222499	 75.5726483963	 164.299463684	 268.761842105	367.4044	 329.0
23.0	 269.05073946	 66.7527305181	 163.741704211	 268.792105263	378.1992	 322.0
23.5	 338.590942377	 91.806051431	 163.183944737	 268.822368421	433.0712	 342.0
24.0	 382.138578237	 61.6585387584	 162.626185263	 268.852631579	467.2248	 318.0
24.5	 364.019857421	 61.6205716779	 162.068425789	 268.882894737	452.2248	 318.0
25.0	 380.417716021	 59.0734757981	 161.510666316	 268.913157895	464.7376	 316.0
25.5	 223.042848668	 107.963520305	 160.952906842	 268.943421053	338.738	 355.0
26.0	 309.88901474	 75.3068788327	 160.395147368	 268.973684211	407.4044	 329.0
26.5	 417.291469414	 114.160408142	 159.837387895	 269.003947368	492.456	 360.0
27.0	 348.218364593	 136.704600255	 159.279628421	 269.034210526	436.8408	 378.0
27.5	 403.57195328	 124.120989178	 158.721868947	 269.064473684	480.4048	 368.0
28.0	 331.507465104	 173.011033685	 158.164109474	 269.094736842	422.4052	 407.0
28.5	 456.440700873	 119.026797419	 157.60635	 269.125	521.4304	 364.0
29.0	 403.097826321	 134.043603134	 157.048590526	 269.155263158	478.3536	 376.0
29.5	 409.040647039	 98.8778328628	 156.490831053	 269.185526316	482.5328	 348.0
30.0	 450.529793632	 96.330736983	 155.933071579	 269.215789474	515.0456	 346.0
30.5	 493.691525482	 77.4743039074	 155.375312105	 269.246052632	548.8916	 331.0
31.0	 600.0	 91.2365452233	 154.817552632	 269.276315789	633.0712	 342.0
31.5	 429.886285733	 121.308123735	 154.259793158	 269.306578947	496.9176	 366.0
32.0	 440.944216421	 120.015592255	 153.702033684	 269.336842105	505.174	 365.0
32.5	 546.640965338	 82.340693184	 153.144274211	 269.367105263	588.866	 335.0
33.0	 431.696469633	 166.358540881	 152.586514737	 269.397368421	496.6872	 402.0
33.5	 390.962970948	 122.410819812	 152.028755263	 269.427631579	463.6612	 367.0
34.0	 393.142098468	 87.2450495412	 151.470995789	 269.457894737	464.8404	 339.0
34.5	 394.903205129	 68.3886164656	 150.913236316	 269.488157895	465.6864	 324.0
35.0	 350.471250595	 112.260403373	 150.355476842	 269.518421053	429.7124	 359.0
35.5	 429.147191471	 131.040902288	 149.797717368	 269.548684211	491.8664	 374.0
36.0	 499.651903499	 103.402518415	 149.239957895	 269.578947368	547.5072	 352.0
36.5	 430.99631771	 60.7093617455	 148.682198421	 269.609210526	492.2248	 318.0
37.0	 473.194042276	 143.472645043	 148.124438947	 269.639473684	525.3024	 384.0
37.5	 398.265132663	 51.8514767868	 147.566679474	 269.669736842	465.0196	 311.0
38.0	 467.129878108	 84.4321840977	 147.00892	 269.7	519.3532	 337.0
38.5	 551.723850171	 11.6294818364	 146.451160526	 269.730263158	586.2244	 279.0
39.0	 363.983004262	 149.593598719	 145.893401053	 269.760526316	436.0204	 389.0
39.5	 440.920620706	 47.9359152658	 145.335641579	 269.790789474	496.7888	 308.0
40.0	 478.293290591	 149.517664558	 144.777882105	 269.821052632	526.0204	 389.0
40.5	 455.767535952	 151.988826277	 144.220122632	 269.851315789	507.5076	 391.0
41.0	 599.29391795	 84.2043816146	 143.662363158	 269.881578947	621.3532	 337.0
41.5	 457.907219306	 183.277002108	 143.104603684	 269.911842105	508.0976	 416.0
42.0	 361.104226646	 128.038201442	 142.546844211	 269.942105263	430.3792	 372.0
42.5	 463.102017887	 129.254798761	 141.989084737	 269.972368421	511.1228	 373.0
43.0	 265.066216514	 160.580941672	 141.431325263	 270.002631579	352.7128	 398.0
43.5	 355.161202556	 110.360398605	 140.873565789	 270.032894737	423.9688	 358.0
44.0	 301.91467855	 110.322431525	 140.315806316	 270.063157895	380.9688	 358.0
