x	actin	actin sem	cofilin	cofilin sem	
-34.5	155.419363978	28.026974944	-11.5028314393	5.69445547785	
-35.0	119.641103482	30.8000658465	-3.67974409662	8.98095773708	
-35.5	111.234236303	25.0279689827	4.27651705407	9.08874158438	
-36.0	110.650457806	25.341415131	4.85258050699	11.1417806917	
-36.5	87.8625274574	20.8594364328	-16.4232706548	9.52278562245	
-37.0	92.9798000052	24.8769423852	7.93354338931	26.5965753284	
-37.5	93.106577762	23.8553605732	65.383945296	64.7043351582	
-38.0	81.1166180258	14.3643180232	10.2713690882	29.2800319116	
-38.5	77.3832421705	18.2783080477	21.0380403302	23.3658576176	
-39.0	66.5547105772	18.0854258055	16.1626233037	22.3784282479	
-39.5	69.4094551645	20.0358166819	23.1637014636	18.4056318191	
-40.0	47.5766278701	14.2032473727	-1.04067591251	14.7485474518	
-40.5	60.6466056008	17.5417828414	7.75025565247	14.7531025945	
-41.0	55.5374864285	14.670503854	6.6025865335	17.2321263365	
-41.5	39.2278087108	9.47765201267	-1.50017873643	6.82245711731	
-42.0	45.0095662031	10.1340905714	-4.1116570727	20.3995053036	
-42.5	34.5637719611	12.3316906108	17.8359303957	21.0219431567	
-43.0	33.0525219537	24.4408649577	-1.79540600177	20.3177475082	
-43.5	29.2973022035	5.40681800881	-21.7529496076	13.5099359893	
-44.0	22.6041201351	1.19601447057	-23.1790505894	14.8776774887	
-44.5					
					
