x	actin	actin sem	cofilin	cofilin sem	
0.0	26.4902329824	3.67004451211	-0.264257566147	7.07336726023	
0.5	39.836207982	5.14401081134	-8.89922237038	7.14329639377	
1.0	59.1084549963	7.88875725613	-8.0683840003	5.74102565734	
1.5	62.5502609676	6.50600096124	1.44429790221	10.827277844	
2.0	88.4600003941	9.10456697543	-0.436270038478	6.22961031816	
2.5	113.188344736	14.5351921134	-3.6002720426	6.67460369432	
3.0	127.808118072	14.1368090663	4.11305256748	8.18125590194	
3.5	152.929891358	19.6086693685	11.5600924911	6.50871309098	
4.0	171.927584303	19.7359476556	24.1139222675	7.35970364851	
4.5	198.615650103	22.8391244139	18.2836365586	11.6825707695	
5.0	219.749054513	24.2777437694	40.1627162016	11.3216443348	
5.5	244.615075259	25.7038522407	41.9600195042	17.3441252616	
6.0	255.32884045	25.2487188997	47.4539817145	20.0999844456	
6.5	269.625319763	26.7617189417	53.7542572276	16.7299832696	
7.0	291.080787987	27.2065601271	61.0896656362	16.9723704881	
7.5	311.621526955	26.4742910196	51.606386148	14.0883148856	
8.0	316.549015018	27.5420452976	58.3092223567	15.9061651587	
8.5	351.364902195	27.3450623264	72.4986851547	20.2377086469	
9.0	374.53625728	26.8613938126	74.551184439	18.6018353138	
9.5	356.501359457	22.8344272501	79.3059170955	19.0655303891	
10.0	378.340636118	24.6749267682	84.232933833	21.0831641186	
10.5	393.732292717	25.6393700534	89.4971181679	19.845001792	
11.0	398.334400952	25.5773939738	99.0132421346	21.0344893961	
11.5	395.011387735	22.5960802357	108.83774178	24.9027469903	
12.0	428.95845177	21.3436374128	110.967740303	27.3668079134	
12.5	428.603189765	26.2617796989	119.538622541	25.1981656577	
13.0	403.851904952	24.7674549344	117.161406972	27.4339370005	
13.5	419.852436513	24.8128048631	126.825037408	32.7611494101	
14.0	424.309164666	23.7342084265	117.98526147	28.7190678356	
14.5	417.655590476	23.0253440143	116.581489507	25.7624167968	
15.0	415.089945023	25.976080246	134.290510555	30.1051904837	
15.5	426.755230599	23.4811425999	140.327052318	30.0665489099	
16.0	422.438078268	24.301888137	145.543286185	36.2260525992	
16.5	401.407576033	25.9429542198	157.294553546	43.0491655777	
17.0	427.658431826	27.1225985921	178.194131268	43.0352909329	
17.5	400.118356623	25.2120183813	178.961976622	42.1543686106	
18.0	404.865778508	24.1087670859	188.141267593	50.53501154	
18.5	393.239371161	25.5309613644	208.239381983	60.3219841469	
19.0	396.134828309	29.4382769311	184.249553348	45.130476744	
19.5	373.068089901	28.6831554459	166.827250786	45.0818509269	
20.0	345.190938253	31.826483344	173.119481504	43.3113439195	
20.5	350.82620876	29.4712154764	179.014783842	43.6589737335	
21.0	338.444483124	31.9381274891	156.957066806	39.1169030154	
21.5	327.39520284	28.4925585087	155.613168722	36.4927744992	
22.0	304.214612098	29.4005930712	175.976948546	43.2797654314	
22.5	322.495120924	32.5686890279	159.89311015	35.7951202718	
23.0	307.815716501	32.4415603298	156.776934938	39.6131336282	
23.5	275.426149781	32.2609338439	150.004319823	50.288748034	
24.0	265.144305429	30.9100053728	139.915228436	42.1709454535	
24.5	295.84618155	36.7861114129	164.669514938	52.0317091614	
25.0	297.313685538	32.523072442	153.688128241	56.0590092316	
25.5	313.949713172	31.6231052271	153.04184072	50.2852793901	
26.0	283.464106024	37.2895987209	128.854355999	49.9459506003	
26.5	311.620893536	33.2410275383	159.256318788	47.6055118885	
27.0	309.266969756	34.9526569432	166.460617011	63.375023044	
27.5	279.669472814	32.389870538	162.614605154	53.7033909853	
28.0	301.808608869	41.739816839	174.336765071	64.5396169777	
28.5	280.296190663	42.4806666235	171.871983685	65.2320950973	
29.0	243.17711399	41.5331759767	180.077668777	64.3004461884	
29.5	239.486483767	45.3502091195	153.004583494	60.9906950265	
30.0	220.850203834	47.6159729362	168.933844231	62.6653758492	
30.5	225.367774028	49.503706783	172.439930392	71.0679530978	
31.0	220.856526892	52.885097047	192.701783702	71.0456795951	
31.5	242.4012502	56.8197494177	117.758031625	44.9647112183	
32.0	269.817610262	58.6645698406	134.916434743	32.8259294068	
32.5	233.717429333	59.6687028283	97.3437122577	54.2484670084	
33.0	222.759556043	53.3471763715	97.9587797403	54.3706371144	
33.5	217.125260213	55.1731553952	123.293762352	66.7695119643	
34.0	235.676111314	57.4628422911	157.793303667	84.5173288477	
34.5	234.089692738	57.7981817575	137.382235251	66.9452492235	
35.0	267.242569685	64.2038669367	155.127596967	64.8322147394	
35.5	275.801671986	64.7811043108	170.96768858	89.9956810524	
36.0	298.646833351	59.8469218229	177.242056763	82.6365372726	
36.5	294.492712624	58.0178636505	162.733910037	99.950908227	
37.0	273.933395935	72.0345398866	178.091989938	83.2712917471	
37.5	225.332465671	58.4572731168	163.076251691	76.8387734759	
38.0	281.262643247	62.8617568089	135.877468578	65.2849221762	
38.5	195.483950577	72.5955780458	165.590080688	66.5623439389	
39.0	215.692650032	82.2239012884	170.120444496	83.1531194923	
39.5	244.249119914	67.1770668055	111.243582245	63.1245125067	
40.0	221.680500799	77.1262647234	116.186248748	73.820049016	
40.5	193.033660409	63.8864038156	179.505566043	117.006155469	
41.0	226.528629196	66.0096022235	219.19234619	147.794847939	
41.5	248.932982934	72.1094982227	233.079376383	134.372106098	
42.0	186.323449726	84.8399337945	221.098420228	144.273260178	
42.5	186.314158778	80.6976273912	207.125072203	125.873325485	
43.0	195.607713384	88.5707368509	198.854062425	107.357199296	
43.5	184.187841888	92.9106244405			
44.0	199.830925205	74.3102381338			
44.5	220.541080197	132.433630566			
45.0	169.162482479	87.0376996912			
45.5	198.86739787	89.4748334524			
46.0	146.129020968	80.738470649			
46.5	156.191058205	95.2448593166			
47.0	163.808275862	89.6818807339			
47.5	107.466228244	66.568955658			
48.0					
48.5					
49.0					
49.5					
50.0					
50.5					
51.0					
51.5					
52.0					
52.5					
53.0					
53.5					
54.0					
54.5					
55.0					
55.5					
56.0					
56.5					
57.0					
57.5					
58.0					
58.5					
59.0					
59.5					
60.0					
60.5					
61.0					
61.5					
62.0					
62.5					
					
