x	actin	actin sem	cofilin	cofilin sem	
-0.0	29.8082860685	4.80317933937			
-0.5	67.8848051341	13.8361188486			
-1.0	93.9968964168	23.0436250784			
-1.5	111.363299931	23.190239113			
-2.0	166.841990408	24.5498622079			
-2.5	224.892296554	29.701160372			
-3.0	229.778675823	31.6425048287			
-3.5	261.025253367	31.8613584307			
-4.0	287.386029234	32.2826143442			
-4.5	322.989811239	31.929214732			
-5.0	352.354690535	27.5177977004			
-5.5	366.729241419	31.7536867892			
-6.0	404.507509088	24.398113989			
-6.5	382.559044632	25.2923141153			
-7.0	391.918166252	24.0040601813			
-7.5	411.02545225	22.2559014042			
-8.0	443.865424005	23.7880673573			
-8.5	447.755290553	21.2108936212			
-9.0	440.659311687	18.3099638446			
-9.5	463.745930612	18.6147228255			
-10.0	440.760208983	18.2714735834			
-10.5	420.251318129	18.3692707915			
-11.0	425.851181687	22.6503352777			
-11.5	442.109133381	20.1104851401			
-12.0	416.513723112	25.364057089			
-12.5	393.129123306	27.7492673083			
-13.0	354.834388652	25.6257195567			
-13.5	319.412245675	28.5427671553			
-14.0	304.544865705	25.1283456396			
-14.5	275.008982266	27.951951915			
-15.0	245.01055863	25.6424297518			
-15.5	248.376397191	35.3203586395			
-16.0	217.200766395	34.0025623885			
-16.5	196.210053407	35.0357430373			
-17.0	184.639735571	35.4297333949			
-17.5	167.713751851	35.25163888			
-18.0	165.997435541	40.5974173991			
-18.5	172.117205487	41.6876776354			
-19.0	181.092150777	47.0643495897			
-19.5	218.646970432	52.4992775536			
-20.0	235.885551473	60.3310734146			
-20.5	267.896694178	59.0992989543			
-21.0	277.371549366	62.9451180223			
-21.5	273.243096825	75.2942115582			
-22.0	199.579398948	60.1342312238			
-22.5	207.089225046	55.5864181309			
-23.0	218.781431177	60.7939139249			
-23.5	174.253282296	63.813358983			
-24.0	182.985603806	71.5009588171			
-24.5	196.046345448	62.7378127219			
-25.0	207.897182851	84.1149415455			
-25.5	148.612209578	72.2293548742			
-26.0	139.984425509	82.7909014794			
-26.5	171.888745484	92.0041629868			
-27.0	159.499568992	113.657678089			
-27.5	151.762841432	104.347499256			
-28.0	164.799093083	128.161973621			
-28.5	107.000362935	87.6005808763			
-29.0	146.223195723	92.7451381872			
-29.5	126.513601983	105.844343722			
-30.0	178.221416586	130.640213255			
-30.5	166.727404946	145.642455815			
-31.0	124.12347771	108.508668164			
-31.5	90.8440168946	87.4047588012			
-32.0					
-32.5					
-33.0					
-33.5					
-34.0					
-34.5					
-35.0					
-35.5					
-36.0					
-36.5					
-37.0					
-37.5					
-38.0					
-38.5					
-39.0					
-39.5					
					
