Patch name 	Actin Time 	Cofilin Time 	Delay 	Cumulative Intensity Ratio
CY260_007_04a_2013_09_10	18.5	19.5	2.0	219.444675024
CY260_001_03a_2013_09_10	37.5			212.206440538
CY260_004_03a_2013_09_10	45.0	30.5	15.5	131.788643681
CY260_003_07b_2013_09_10	23.0			264.508425988
CY260_008_02b_2013_09_10	21.0	22.5	2.5	288.461857668
CY262_008_03b_2013_09_10	27.5	17.5	5.0	140.778318378
CY259_001_01c_2013_09_10	35.5	30.0	12.0	45.7488176359
CY260_006_09a_2013_09_10	41.0	12.0	19.0	202.885489569
CY261_005_06b_2013_09_10	68.0			317.961423151
CY261_003_02a_2013_09_10	30.0	24.5	10.5	193.786008721
CY260_008_03c_2013_09_10	38.5			247.06548613
CY260_003_07a_2013_09_10	25.5	24.0	1.5	250.524732033
CY261_004_03a_2013_09_10	22.5	21.0	2.5	218.052616624
CY260_006_08a_2013_09_10	25.0	16.5	9.5	287.481248301
CY261_005_02a_2013_09_10	45.0	28.5	11.5	80.9614392759
CY260_004_02a_2013_09_10	28.5	26.0	7.0	246.166885599
CY260_007_01a_2013_09_10	20.5	17.5	3.5	197.884076338
CY260_003_03a_2013_09_10	17.0	12.5	5.0	260.987153925
CY260_008_03b_2013_09_10	18.5	16.0	3.0	311.44412936
CY260_005_01a_2013_09_10	17.5			281.891751158
CY262_004_02a_2013_09_10	23.0	26.0	3.5	109.536528062
CY261_001_04b_2013_09_10	33.0	23.0	10.5	272.329091192
CY262_009_05b_2013_09_10	41.0	26.5	12.0	235.7836758
CY261_001_03a_2013_09_10	52.0	63.5	-11.5	-112.323573253
CY260_003_02a_2013_09_10	27.5	13.5	9.5	165.913231864
CY260_006_01a_2013_09_10	43.5			305.152540928
CY262_005_04b_2013_09_10	29.5	23.0	8.0	263.718175395
CY262_008_02a_2013_09_10	22.5	19.5	4.5	110.917742229
CY262_009_07d_2013_09_10	46.0	48.5	5.5	121.56207875
CY262_007_05a_2013_09_10	29.0	23.0	5.0	141.183894416
CY260_007_02a_2013_09_10	27.5			252.316764392
CY261_004_06a_2013_09_10	34.5	18.0	16.5	232.809237334
CY261_005_04a_2013_09_10	65.0	43.5	20.0	272.239595873
CY260_008_01a_2013_09_10	24.5	13.0	8.5	257.208889327
CY260_007_03a_2013_09_10	18.0	7.5	10.0	318.431109679
CY262_007_01a_2013_09_10	27.0	19.5	7.5	237.271386385
CY261_005_07a_2013_09_10	40.0	33.5	8.0	196.945866501
CY260_003_09a_2013_09_10	23.5	14.5	8.5	259.93805243
CY261_004_02a_2013_09_10	34.5	33.5	5.0	-22.3817892613
CY262_006_01a_2013_09_10	30.5			-56.0092279926
CY261_005_06a_2013_09_10	29.0	25.5	3.5	130.738891675
CY262_003_04a_2013_09_10	25.5	12.0	9.5	300.729609439
CY260_001_02a_2013_09_10	34.0	26.0	4.5	72.4115919457
CY261_003_01a_2013_09_10	31.0	38.5	-0.5	59.2735710408
CY260_002_02a_2013_09_10	25.0			205.135791696
CY261_003_08a_2013_09_10	16.5	20.0	5.0	200.585230395
CY261_002_01a_2013_09_10	36.5			300.182992877
CY281_008_03b_2013_05_22	70.0	45.5	15.5	265.106198293
CY281_007_06b_2013_05_22	24.0	15.5	5.0	220.629540899
CY279_001_02b_2013_05_22	32.5			250.690062095
CY281_006_01a_2013_05_22	20.0	18.5	1.5	11.1622813417
CY279_005_04a_2013_05_22	21.0	15.0	6.5	260.002248256
CY280_002_01a_2013_05_22	22.0	24.0	-1.5	249.39650363
CY281_008_01a_2013_05_22	35.0	22.0	14.0	234.089661144
CY280_001_02a_2013_05_22	22.5	18.0	5.0	168.686298937
CY279_004_04a_2013_05_22	36.0	15.0	18.5	336.629531709
CY282_001_05a_2013_05_22	27.0	19.0	6.5	138.197802543
CY279_001_03a_2013_05_22	40.5	33.0	8.5	192.2874106
CY259_003_01b_2013_05_22	35.0			299.460885607
CY281_007_07a_2013_05_22	35.5	36.5	-10.0	102.002231257
CY279_002_05a_2013_05_22	19.5	23.5	0.5	-243.673690764
CY282_005_06a_2013_05_22	26.0	11.0	13.5	228.678658156
CY279_005_03a_2013_05_22	18.5			247.167593526
CY280_001_01b_2013_05_22	49.0	17.5	14.5	282.245201505
CY282_001_05b_2013_05_22	21.0	31.5	-4.0	-275.815996905
CY280_003_02c_2013_05_22	32.0	46.5	-11.5	82.4197459866
CY281_010_01a_2013_05_22	59.0	40.0	19.5	-41.7694992333
CY279_002_04a_2013_05_22	34.0	23.0	7.5	154.808805866
CY279_003_05a_2013_05_22	74.5	74.0	2.5	125.727541509
CY280_001_01a_2013_05_22	32.0	25.5	8.5	281.623290619
CY279_004_03a_2013_05_22	36.0	35.0	5.5	219.500355425
CY279_001_01a_2013_05_22	34.5	12.0	5.5	276.965136265
CY259_001_01a_2013_05_22	26.0			271.391250299
CY282_001_02a_2013_05_22	26.0	19.5	10.0	158.389393812
CY282_005_02a_2013_05_22	49.0			254.060739152
