Patch name 	Actin Time 	Cofilin Time 	Delay 	Cumulative Intensity Ratio
CY17_001_03a_2013_09_13	20.0			284.383179296
CY17_001_05a_2013_09_13	17.5			366.10004776
CY303_003_01a_2013_09_13	18.0	13.0	5.0	318.063980009
CY4_pCE206_002_05a_2013_09_13	4.0			-78.2808348298
CY17_002_05d_2013_09_13	16.5			290.057706926
CY17_004_03b_2013_09_13	15.0			285.941044469
CY4_pCE206_001_05a_2013_09_13	3.5	7.5	0.5	-1068.7116244
CY4_pCE206_003_07a_2013_09_13	2.5	41.0	-33.5	-470.541676138
CY4_pCE206_001_03a_2013_09_13	4.0	24.0	-12.5	-2251.17322262
CY305_001_03a_2013_09_13	42.5	35.5	7.0	198.167498844
CY303_003_04a_2013_09_13	63.0	45.0	24.0	260.463714719
CY4_pCE206_002_01a_2013_09_13	1.0	16.5	6.0	-555.679310133
CY17_003_01a_2013_09_13	31.5			230.112910606
CY303_001_09a_2013_09_13	20.5	15.5	6.0	228.79530699
CY259_001_03b_2013_09_13	15.0	6.5	8.5	297.449355105
CY17_002_03a_2013_09_13	17.0			364.927044113
CY303_001_08a_2013_09_13	41.0	30.5	9.0	308.150033918
CY4_pCE206_003_06a_2013_09_13	1.5	19.0	17.0	28.6901930948
CY17_001_06a_2013_09_13	32.0			233.126274823
CY303_003_05a_2013_09_13	21.5	16.5	4.0	289.226427709
CY4_pCE206_003_03a_2013_09_13	2.5	23.0	-4.0	-2011.08918861
CY17_001_01a_2013_09_13	40.0			322.237291885
CY259_001_02b_2013_09_13	16.5	15.5	3.5	49.0478161555
CY17_004_01b_2013_09_13	26.0			242.114370857
CY303_001_06a_2013_09_13	32.5	15.5	17.0	140.965255826
CY17_004_03a_2013_09_13	19.0			280.200384918
CY305_001_04a_2013_09_13	30.5	28.5	2.5	226.133027567
CY4_001a_2013_09_13	2.0			517.264110395
CY303_002_01a_2013_09_13	24.5	25.5	4.0	262.085363938
CY17_001_04a_2013_09_13	25.5			297.836023371
CY303_003_03a_2013_09_13	36.0			244.827889421
CY303_003_02b_2013_09_13	30.5	19.5	12.5	168.083701599
CY4_pCE206_003_01a_2013_09_13	1.5	11.5	-21.0	266.680839633
CY304_001_03b_2013_09_13	17.0	15.5	3.5	80.2061060077
CY303_001_04b_2013_09_13	31.5	51.0	1.5	-267.638881453
CY303_003_06a_2013_09_13	17.0	15.0	3.5	160.679017626
CY304_003_02a_2013_09_13	44.0	22.5	19.5	254.18487076
CY17_002_05a_2013_09_13	18.0			285.334876882
CY17_004_01a_2013_09_13	15.5			327.453136481
CY305_001_02c_2013_09_13	37.0	43.0	3.0	-342.253715216
CY17_002_05c_2013_09_13	19.0			264.265287689
CY303_003_02a_2013_09_13	22.5	18.0	-19.5	19.8450557522
CY259_001_02c_2013_09_13	20.5	27.5	-6.0	117.767663672
CY4_pCE206_002_07a_2013_09_13	3.0	17.0	-6.5	-4641.39391003
CY303_003_02c_2013_09_13	15.5			340.15621483
CY303_003_03b_2013_09_13	23.5			340.193122384
CY4_pCE206_002_04a_2013_09_13	2.5	34.0	-18.0	-1461.74556177
CY306_002_02a_2013_05_10	32.5	20.0	11.5	287.752757182
CY305_002_07a_2013_05_10	26.5			255.12909725
CY259_001_05a_2013_05_10	24.5	14.5	10.0	184.661076228
CY306_001_04a_2013_05_10	47.5	36.0	9.0	68.3300390464
CY305_004_02a_2013_05_10	59.5	47.0	11.0	162.392868164
CY305_001_01a_2013_05_10	22.0	23.0	-1.0	29.5536820813
CY304_005_02a_2013_05_10	21.0	14.0	4.0	245.458608347
CY305_002_02a_2013_05_10	16.0			341.841306088
CY304_002_01a_2013_05_10	26.0	12.0	14.5	284.514961003
CY304_001_03a_2013_05_10	53.5	42.5	11.5	220.196338544
CY306_001_06a_2013_05_10	54.0	20.0	11.0	246.618783577
CY306_002_06d_2013_05_10	28.0	21.5	5.0	-70.6082051299
CY304_001_04a_2013_05_10	86.5	84.0	0.5	314.820087619
CY303_004_01a_2013_05_10	43.5	41.5	14.0	266.768125959
CY303_001_03a_2013_05_10	34.0	26.5	8.0	274.580340218
CY305_001_02a_2013_05_10	25.0	22.0	5.5	90.4828600666
CY305_001_06d_2013_05_10	57.0	45.0	13.0	187.629921727
CY305_004_03a_2013_05_10	65.5	43.0	9.0	158.99761638
CY303_001_02a_2013_05_10	51.0			227.862249495
CY305_004_01b_2013_05_10	28.5			327.887456484
CY304_003_01a_2013_05_10	37.5	34.5	4.5	212.657767261
CY306_002_07a_2013_05_10	34.0	13.0	11.0	301.570877891
CY306_002_01c_2013_05_10	31.0	21.5	9.5	281.569214729
CY305_004_01d_2013_05_10	49.5			311.963374101
CY304_003_01b_2013_05_10	38.0	33.5	6.0	188.976287905
CY306_002_05a_2013_05_10	33.0	25.0	7.5	269.520104124
CY304_003_01c_2013_05_10	32.5	20.0	12.5	231.842301835
CY259_001_04a_2013_05_10	33.0	31.5	1.5	258.575327465
CY304_004_02a_2013_05_10	40.0	26.5	13.5	263.192489065
CY306_002_03a_2013_05_10	42.5	35.5	8.0	214.904623185
CY259_002_03a_2013_05_10	19.0	16.0	5.0	-266.668282086
CY305_003_01a_2013_05_10	66.0	43.5	15.5	275.760369629
CY304_001_01a_2013_05_10	23.5	6.5	16.5	264.820830992
CY306_002_06a_2013_05_10	37.0	40.0	-1.0	-183.532517554
CY306_001_01a_2013_05_10	27.5	23.0	5.0	181.182754331
CY304_005_01b_2013_05_10	21.5			291.433862482
CY259_001_03a_2013_05_10	17.5	21.0	-1.0	150.427171682
CY306_001_03b_2013_05_10	34.0	31.5	6.0	-317.821833577
CY306_001_03a_2013_05_10	25.0	19.0	6.0	26.8511011791
CY306_002_01a_2013_05_10	51.5	50.5	0.5	168.141259052
CY259_002_01a_2013_05_10	22.5	15.0	7.0	192.340166776
CY304_005_04a_2013_05_10	30.0	29.0	1.0	137.108911758
CY259_001_02a_2013_05_10	16.0	10.0	5.0	208.897229363
CY306_002_04b_2013_05_10	40.0			159.459953857
CY303_003_01a_2013_05_10	26.5	22.0	6.0	295.504742882
CY305_004_05a_2013_05_10	37.5	27.5	10.0	253.964685527
CY259_003_01a_2013_05_10	19.5	22.0	3.0	-6.07041618858
CY306_001_02a_2013_05_10	24.5	14.0	10.0	214.630616585
CY305_002_04a_2013_05_10	34.5	24.0	7.0	193.800267248
CY305_002_05a_2013_05_10	45.5	36.0	9.0	237.173381771
CY305_003_03a_2013_05_10	26.5	11.0	14.0	288.455292782
CY304_005_03a_2013_05_10	78.0			265.837805036
CY306_001_05a_2013_05_10	43.0	39.5	2.0	184.414673286
CY259_004_02a_2013_05_10	27.0	22.5	6.5	8.14060769429
CY303_003_04a_2013_05_10	25.5	20.0	4.0	216.151452716
CY304_004_01b_2013_05_10	18.0	17.0	2.5	268.816467213
CY259_004_03a_2013_05_10	20.0	16.0	3.5	114.642981886
CY305_003_02a_2013_05_10	31.0	21.5	11.0	280.899368842
CY305_004_04a_2013_05_10	24.5	17.5	6.5	277.626892033
CY259_002_02a_2013_05_10	23.5	26.0	2.5	80.2326977541
CY305_001_06a_2013_05_10	38.5			284.584029528
CY305_001_05a_2013_05_10	30.5	7.5	15.5	216.379569915
CY305_004_01c_2013_05_10	39.5	21.0	24.5	112.267892671
CY304_003_03a_2013_05_10	33.0	12.5	10.5	225.617222174
CY306_001_03c_2013_05_10	29.0			188.84741841
CY259_004_01a_2013_05_10	40.0	36.5	10.0	253.007945618
CY303_002_02a_2013_05_10	34.5			238.663889259
CY305_001_06c_2013_05_10	34.5	33.5	-0.5	219.411848359
CY304_001_02b_2013_05_10	21.0	15.5	5.5	272.386590893
CY305_002_01a_2013_05_10	69.5	45.0	29.0	210.260748278
CY303_003_05a_2013_05_10	26.5	16.5	10.5	214.812683011
CY305_003_01b_2013_05_10	50.5	29.0	12.0	236.893332161
CY304_002_02a_2013_05_10	20.0	20.0	2.0	181.697593901
CY259_001_02b_2013_05_10	30.5	23.0	3.0	-16.7568054619
CY306_002_07b_2013_05_10	45.0	23.0	10.5	232.971020017
CY305_002_03a_2013_05_10	46.0	35.5	13.5	193.320236941
CY306_002_04a_2013_05_10	50.0	39.5	12.0	136.046950435
CY259_003_02a_2013_05_10	24.0	17.0	8.0	188.949369725
CY303_002_01a_2013_05_10	24.0	23.5	3.0	68.4242837726
CY305_004_01a_2013_05_10	32.5			300.253443575
CY303_003_03a_2013_05_10	48.0	45.0	5.0	-40.9920942122
CY306_002_01d_2013_05_10	25.0	20.5	4.5	300.267662851
CY306_002_08a_2013_05_10	42.0	33.0	8.0	-670.710551914
CY303_003_02b_2013_05_10	30.0	18.5	11.0	198.72364345
CY305_002_07b_2013_05_10	37.0	17.5	11.0	263.810298425
CY303_003_03c_2013_05_10	25.0	26.5	3.0	135.511739513
CY304_001_02a_2013_05_10	40.5			254.513952664
CY306_002_01b_2013_05_10	37.0	21.5	14.0	277.042745621
CY306_002_06b_2013_05_10	35.5	17.0	10.0	84.0136561087
CY305_001_06b_2013_05_10	54.0			269.7146369
CY304_003_02a_2013_05_10	27.0	19.0	7.5	180.557595392
CY304_004_01a_2013_05_10	35.5	23.5	12.0	166.389193357
CY305_002_06a_2013_05_10	37.0	26.0	11.5	134.394919501
CY304_002_03a_2013_05_10	32.0	27.5	6.5	147.060928048
CY303_003_02a_2013_05_10	32.0	22.0	7.5	219.36358689
CY306_002_06c_2013_05_10	26.5			163.56428118
CY303_003_03b_2013_05_10	35.5	25.5	6.5	210.478678767
CY304_005_01a_2013_05_10	50.0	29.0	14.5	91.3938453064
